"","gloveOrHand","observation","year","iNaturalistID","observed_on","latitude","longitude","positional_accuracy","quality_grade","license","captive","taxon_id","recorded_by"
"46",0,"https://www.inaturalist.org/observations/187540",2003,"187540","2003-05-09","7.873074386","35.4791879653",0,"research","CC-BY-NC",FALSE,75042,"bombi"
"47",0,"https://www.inaturalist.org/observations/187547",2003,"187547","2003-05-03","6.9055087327","40.84826231",0,"needs_id","CC-BY-NC",FALSE,41293,"bombi"
"48",0,"https://www.inaturalist.org/observations/1957222",1992,"1957222","1992-06-26","-19.995845","32.686214",744,"needs_id","CC-BY",FALSE,64485,"i_c_riddell"
"49",0,"https://www.inaturalist.org/observations/19896006",2006,"19896006","2006-04-23","23.69781","120.960515",182272,"research","CC-BY-NC",FALSE,628422,"gerry_carter"
"50",1,"https://www.inaturalist.org/observations/20081949",2003,"20081949","2003-08-04","55.0172567389","46.4414064694",250,"needs_id","CC-BY-NC",FALSE,40270,"birdchuvashia"
"51",0,"https://www.inaturalist.org/observations/20363492",2003,"20363492","2003-07-29","41.3484523562","-81.7104016032",271,"research","CC-BY",FALSE,40522,"smpbiologist-rcurtis"
"52",0,"https://www.inaturalist.org/observations/203962",2003,"203962","2003-07-25","-6.680975","144.06372",0,"research","CC-BY-NC-ND",FALSE,40756,"vespadelus"
"53",0,"https://www.inaturalist.org/observations/20865285",2018,"20865285","2018-11-13","-37.1911843926","175.0167493286",3045,"research","CC-BY",FALSE,40550,"kirstymyron"
"54",1,"https://www.inaturalist.org/observations/20982643",2018,"20982643",NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",0,"https://www.inaturalist.org/observations/217357",1999,"217357","1999-11-12","8.7245002693","-3.9117825794",100,"research","CC-BY",FALSE,57549,"jakob"
"56",1,"https://www.inaturalist.org/observations/22199718",2019,"22199718",NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",1,"https://www.inaturalist.org/observations/22280990",2001,"22280990","2001-06-02","31.8839759","-109.2060525",3165,"research","CC-BY-NC",FALSE,40614,"peteacorr"
"58",0,"https://www.inaturalist.org/observations/22280992",2001,"22280992","2001-06-02","31.8839759","-109.2060525",3165,"research","CC-BY-NC",FALSE,40523,"peteacorr"
"59",0,"https://www.inaturalist.org/observations/22280995",2001,"22280995","2001-06-02","31.9523151019","-109.234664179",3165,"needs_id","CC-BY-NC",FALSE,41143,"peteacorr"
"60",1,"https://www.inaturalist.org/observations/24141793",2019,"24141793",NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",0,"https://www.inaturalist.org/observations/25154956",2019,"25154956","2019-05-12","15.7789198485","-87.8624835983",352,"needs_id","CC-BY-NC",FALSE,41166,"hermes"
"62",0,"https://www.inaturalist.org/observations/25955908",2013,"25955908",NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",1,"https://www.inaturalist.org/observations/26044309",2015,"26044309","2015-06-19","1.4461330966","103.7290742621",33,"research","CC-BY-NC",FALSE,40793,"prunuscherry"
"64",1,"https://www.inaturalist.org/observations/27248344",2019,"27248344",NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",1,"https://www.inaturalist.org/observations/27647437",2015,"27647437","2015-06-30","35.9874492252","-93.6438297284",89373,"research","CC0",FALSE,40352,"caitjcampbell"
"66",0,"https://www.inaturalist.org/observations/27655732",2004,"27655732","2004-10-29","-11.9675277778","-68.8058611111",0,"research","CC-BY-NC",FALSE,41055,"lizette-siles-m"
"67",0,"https://www.inaturalist.org/observations/27981168",2018,"27981168",NA,NA,NA,NA,NA,NA,NA,NA,NA
"68",0,"https://www.inaturalist.org/observations/29746565",2011,"29746565",NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",0,"https://www.inaturalist.org/observations/29885458",2019,"29885458",NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",0,"https://www.inaturalist.org/observations/30678496",2019,"30678496","2019-08-12","40.7751533333","-77.797745",5,"research","CC-BY",FALSE,40522,"camazine"
"71",0,"https://www.inaturalist.org/observations/30694903",1986,"30694903",NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",1,"https://www.inaturalist.org/observations/31001478",2006,"31001478","2006-06-13","31.859855","-109.233969",20014,"research","CC-BY-NC-ND",FALSE,40523,"jdockens"
"73",1,"https://www.inaturalist.org/observations/31001487",2006,"31001487","2006-06-13","31.859855","-109.233969",20014,"research","CC-BY-NC-ND",FALSE,40621,"jdockens"
"74",0,"https://www.inaturalist.org/observations/31001491",2006,"31001491","2006-06-13","31.859855","-109.233969",20014,"research","CC-BY-NC-ND",FALSE,40520,"jdockens"
"75",1,"https://www.inaturalist.org/observations/31001495",2006,"31001495","2006-06-14","31.8917497464","-109.3517020023",20014,"research","CC-BY-NC-ND",FALSE,41182,"jdockens"
"76",0,"https://www.inaturalist.org/observations/31001512",2006,"31001512","2006-06-14","31.859855","-109.233969",20014,"research","CC-BY-NC-ND",FALSE,41301,"jdockens"
"77",1,"https://www.inaturalist.org/observations/31146026",2018,"31146026",NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",0,"https://www.inaturalist.org/observations/31289098",2006,"31289098","2006-06-14","31.883976","-109.206052",21537,"research","CC-BY-NC-ND",FALSE,40344,"jdockens"
"79",0,"https://www.inaturalist.org/observations/31328249",2019,"31328249","2019-08-22","21.36585488","-88.92237042",4,"casual","CC-BY-NC-SA",FALSE,41216,"juancruzado"
"80",0,"https://www.inaturalist.org/observations/32286718",2019,"32286718",NA,NA,NA,NA,NA,NA,NA,NA,NA
"81",1,"https://www.inaturalist.org/observations/32322977",2019,"32322977",NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",1,"https://www.inaturalist.org/observations/32323646",2019,"32323646","2019-09-07","38.0182583333","-122.7326133333",16,"needs_id","CC-BY",FALSE,40325,"ocean_beach_goth"
"83",0,"https://www.inaturalist.org/observations/32499322",2019,"32499322",NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",1,"https://www.inaturalist.org/observations/32565993",2019,"32565993",NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",0,"https://www.inaturalist.org/observations/327906",2008,"327906","2008-05-25","6.75","-74.78",0,"research","CC-BY-NC",FALSE,75212,"ssolari"
"86",1,"https://www.inaturalist.org/observations/34443808",2014,"34443808","2014-09-10","-1.136107","100.366877",212,"research","CC-BY-NC",FALSE,40726,"rimba"
"87",1,"https://www.inaturalist.org/observations/34894429",2015,"34894429","2015-10-31","-35.244","149.2925",100,"research","CC-BY-NC",FALSE,40558,"liz_odonnell"
"88",0,"https://www.inaturalist.org/observations/35176744",2016,"35176744","2016-12-10","16.1152768056","-90.943720825",132,"needs_id","CC-BY-NC",FALSE,41005,"valentinarbayona"
"89",1,"https://www.inaturalist.org/observations/35238172",2019,"35238172","2019-03-28","10.632218489","-61.4246061444",17,"research","CC-BY",FALSE,41200,"nicholasmohammed"
"90",0,"https://www.inaturalist.org/observations/35240758",2019,"35240758","2019-11-01","20.746655","-89.29696667",5,"research","CC0",FALSE,41312,"tiwane"
"91",0,"https://www.inaturalist.org/observations/36430012",2019,"36430012",NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",0,"https://www.inaturalist.org/observations/36446244",2019,"36446244","2019-12-06","14.5618147181","-88.6446268111",11,"needs_id","CC-BY-NC",FALSE,41089,"hermes"
"93",0,"https://www.inaturalist.org/observations/36452445",2019,"36452445","2019-12-07","21.224755","-89.33328833",16,"research","CC-BY-NC",FALSE,41005,"gesmex"
"94",1,"https://www.inaturalist.org/observations/36559760",2019,"36559760",NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",0,"https://www.inaturalist.org/observations/371346",2000,"371346","2000-08-15","-14.140221","-66.383815",50,"research","CC-BY-NC",FALSE,41199,"laguirre"
"96",0,"https://www.inaturalist.org/observations/37213745",2019,"37213745","2019-12-14","8.7638030457","-83.0291103207",4,"research","CC-BY",FALSE,41396,"edward137"
"97",1,"https://www.inaturalist.org/observations/37213747",2019,"37213747","2019-12-14","8.74219248","-83.1631425167",0,"needs_id","CC-BY",FALSE,765484,"edward137"
"98",0,"https://www.inaturalist.org/observations/37213748",2019,"37213748","2019-12-15","8.70004448","-83.0205128614",0,"research","CC-BY",FALSE,40634,"edward137"
"99",0,"https://www.inaturalist.org/observations/37213749",2019,"37213749","2019-12-15","8.7927677416","-83.1130938973",0,"research","CC-BY",FALSE,41077,"edward137"
"100",1,"https://www.inaturalist.org/observations/37395247",2019,"37395247",NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",1,"https://www.inaturalist.org/observations/37423264",2019,"37423264",NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",0,"https://www.inaturalist.org/observations/374328",1991,"374328","1991-08-15","-14.821212","-66.357915",50,"research","CC-BY-NC",FALSE,41200,"laguirre"
"103",1,"https://www.inaturalist.org/observations/3743439",2016,"3743439","2016-07-18","37.2340527838","-77.3631477356",15,"research","CC-BY-NC",FALSE,40569,"chris5676"
"104",1,"https://www.inaturalist.org/observations/37452225",2019,"37452225",NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",0,"https://www.inaturalist.org/observations/37583778",2006,"37583778",NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",0,"https://www.inaturalist.org/observations/37584902",2006,"37584902",NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",1,"https://www.inaturalist.org/observations/37626359",2019,"37626359","2019-12-22","20.9922363193","-86.8331287338",31,"research","CC-BY-NC",FALSE,41017,"alexpacheco"
"108",1,"https://www.inaturalist.org/observations/37647904",2019,"37647904",NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",0,"https://www.inaturalist.org/observations/37669003",2019,"37669003","2019-03-25","17.6517309298","-96.3835779549",61,"research","CC-BY-NC-SA",FALSE,516402,"juancruzado"
"110",0,"https://www.inaturalist.org/observations/37702779",2003,"37702779","2003-12-28","-33.5797222","19.135",1807,"needs_id","CC-BY",FALSE,40641,"christoph_moning"
"111",1,"https://www.inaturalist.org/observations/37716456",2002,"37716456","2002-12-18","12.7988384828","99.4537470783",1029,"needs_id","CC-BY",FALSE,40713,"christoph_moning"
"112",0,"https://www.inaturalist.org/observations/380247",2011,"380247","2011-03-03","10.194805","-61.11264",0,"research","CC-BY-NC",FALSE,852272,"trinibats"
"113",0,"https://www.inaturalist.org/observations/38280598",2020,"38280598","2020-02-03","15.7355043059","-87.4558126301",4,"research","CC-BY-NC",FALSE,765494,"delmer"
"114",1,"https://www.inaturalist.org/observations/38343953",2013,"38343953","2013-11-22","-33.5619882993","-59.989662375",519,"research","CC-BY-NC",FALSE,74705,"liuid"
"115",0,"https://www.inaturalist.org/observations/38484889",2015,"38484889","2015-07-14","36.8874488241","-6.5288351565",754,"needs_id","CC-BY",FALSE,57534,"eamonccorbett"
"116",1,"https://www.inaturalist.org/observations/39403",2010,"39403",NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",1,"https://www.inaturalist.org/observations/3989430",2006,"3989430","2006-06-05","39.3677483119","-108.7811279297",2586,"needs_id","CC-BY-NC",FALSE,40268,"montanaclan"
"118",1,"https://www.inaturalist.org/observations/40040",2008,"40040",NA,NA,NA,NA,NA,NA,NA,NA,NA
"119",1,"https://www.inaturalist.org/observations/40087726",2020,"40087726","2020-03-16","-21.9801167492","35.3111221851",2518,"needs_id","CC-BY-NC",FALSE,40436,"ruleeney"
"120",0,"https://www.inaturalist.org/observations/401036",2004,"401036",NA,NA,NA,NA,NA,NA,NA,NA,NA
"121",0,"https://www.inaturalist.org/observations/40221797",2020,"40221797","2020-03-18","-6.5653947","106.7280904",221,"research","CC-BY-NC",FALSE,40949,"aozurea"
"122",1,"https://www.inaturalist.org/observations/4032129",2016,"4032129","2016-06-26","18.4099166667","-89.4929111111",0,"research","CC-BY-NC",FALSE,41337,"medellin"
"123",0,"https://www.inaturalist.org/observations/408494",1992,"408494","1992-07-15","-14.140221","-66.383815",50,"research","CC-BY-NC",FALSE,41078,"laguirre"
"124",0,"https://www.inaturalist.org/observations/408499",1992,"408499","1992-07-15","-14.140221","-66.383815",50,"needs_id","CC-BY-NC",FALSE,210144,"laguirre"
"125",0,"https://www.inaturalist.org/observations/41347005",2015,"41347005",NA,NA,NA,NA,NA,NA,NA,NA,NA
"126",1,"https://www.inaturalist.org/observations/41561323",2008,"41561323","2008-11-24","29.5418180323","-102.912207401",149,"research","CC-BY",FALSE,74205,"craighensley"
"127",1,"https://www.inaturalist.org/observations/41561325",2007,"41561325","2007-11-11","29.5846489728","-102.8989172754",149,"research","CC-BY",FALSE,40614,"craighensley"
"128",0,"https://www.inaturalist.org/observations/41759620",2020,"41759620",NA,NA,NA,NA,NA,NA,NA,NA,NA
"129",0,"https://www.inaturalist.org/observations/41763465",2006,"41763465",NA,NA,NA,NA,NA,NA,NA,NA,NA
"130",0,"https://www.inaturalist.org/observations/41899570",2019,"41899570","2019-11-24","-0.1044517113","-76.4930523182",0,"research","CC-BY-NC",FALSE,41369,"rocio_vargas"
"131",1,"https://www.inaturalist.org/observations/42142785",2020,"42142785",NA,NA,NA,NA,NA,NA,NA,NA,NA
"132",1,"https://www.inaturalist.org/observations/42564304",2018,"42564304",NA,NA,NA,NA,NA,NA,NA,NA,NA
"133",1,"https://www.inaturalist.org/observations/42678557",2015,"42678557","2015-11-27","18.5932299758","-92.5623598818",61,"needs_id","CC-BY-NC",FALSE,41006,"eder_herpnandez"
"134",1,"https://www.inaturalist.org/observations/42678560",2015,"42678560","2015-11-27","18.5928554563","-92.5623574965",31,"needs_id","CC-BY-NC",FALSE,41039,"eder_herpnandez"
"135",1,"https://www.inaturalist.org/observations/42809835",2019,"42809835","2019-12-31","23.7477835733","-110.068195386",11508,"research","CC-BY-NC",FALSE,41143,"abrierly"
"136",0,"https://www.inaturalist.org/observations/4288176",2006,"4288176","2006-05-16","26.1871797214","-111.0902410418",0,"research","CC-BY-NC",FALSE,40307,"fredfrick"
"137",0,"https://www.inaturalist.org/observations/43523925",2019,"43523925","2019-11-01","20.7098786","-89.0943377",266167,"needs_id","CC-BY-NC",FALSE,41226,"brizel"
"138",0,"https://www.inaturalist.org/observations/439064",2003,"439064","2003-06-23","-13.159056","-74.165096",0,"research","CC-BY-NC",FALSE,41168,"joaqugarte"
"139",0,"https://www.inaturalist.org/observations/44594123",2017,"44594123","2017-11-16","52.343125","-1.45963",500,"needs_id","CC-BY-NC",FALSE,40355,"hayleynature"
"140",0,"https://www.inaturalist.org/observations/4635599",2004,"4635599","2004-05-04","41.221700843","-81.5120854906",0,"research","CC-BY",FALSE,183166,"mperdicas"
"141",0,"https://www.inaturalist.org/observations/4635602",2006,"4635602","2006-06-09","41.1311766419","-81.4137787465",122,"research","CC-BY",FALSE,183166,"mperdicas"
"142",1,"https://www.inaturalist.org/observations/46458098",2019,"46458098",NA,NA,NA,NA,NA,NA,NA,NA,NA
"143",0,"https://www.inaturalist.org/observations/4818740",2006,"4818740","2006-05-30","44.9403716544","5.5041503906",26425,"research","CC-BY",FALSE,424254,"pierre_t"
"144",0,"https://www.inaturalist.org/observations/48378325",2001,"48378325","2001-08-05","18.4857307","-98.1823995",11444,"research","CC-BY-NC",FALSE,40520,"danivulgacion20"
"145",0,"https://www.inaturalist.org/observations/49339880",2020,"49339880",NA,NA,NA,NA,NA,NA,NA,NA,NA
"146",0,"https://www.inaturalist.org/observations/5029560",2016,"5029560","2016-07-13","40.1719846908","9.5611605048",10,"research","CC-BY",FALSE,40415,"jakob"
"147",0,"https://www.inaturalist.org/observations/50528144",2020,"50528144",NA,NA,NA,NA,NA,NA,NA,NA,NA
"148",1,"https://www.inaturalist.org/observations/51353511",2019,"51353511",NA,NA,NA,NA,NA,NA,NA,NA,NA
"149",1,"https://www.inaturalist.org/observations/51509042",2019,"51509042","2019-07-22","47.7600656028","7.7438318415",123,"research","CC-BY-NC",FALSE,40581,"naturschulz"
"150",1,"https://www.inaturalist.org/observations/51758162",2020,"51758162","2020-06-28","31.8583675863","-89.0379925893",196,"research","CC-BY",FALSE,40521,"misspt"
"151",0,"https://www.inaturalist.org/observations/52052087",2002,"52052087","2002-07-25","19.0435604858","-96.0375604565",12791,"needs_id","CC-BY-NC",FALSE,846199,"davidcruz82"
"152",0,"https://www.inaturalist.org/observations/52053763",2004,"52053763","2004-10-19","18.4695874564","-99.2754903563",493,"research","CC-BY-NC",FALSE,41387,"davitejon"
"153",0,"https://www.inaturalist.org/observations/521285",2004,"521285","2004-05-01","-25.4515250842","31.2773474891",202,"research","CC-BY-NC",FALSE,40777,"pattyr"
"154",0,"https://www.inaturalist.org/observations/521291",2004,"521291","2004-05-01","-24.628708531","30.7586103587",202,"research","CC-BY-NC",FALSE,183011,"pattyr"
"155",0,"https://www.inaturalist.org/observations/522346",2009,"522346","2009-02-17","10.7228","-4.8219",100,"research","CC-BY",FALSE,40684,"jakob"
"156",0,"https://www.inaturalist.org/observations/52475303",2020,"52475303","2020-07-06","23.510934215","-98.5825785431",4,"research","CC-BY-NC-ND",FALSE,40509,"gerjhe"
"157",0,"https://www.inaturalist.org/observations/5308405",1984,"5308405","1984-07-16","9.1363234687","-79.723531901",8,"needs_id","CC-BY-NC",FALSE,846304,"vicfazio3"
"158",0,"https://www.inaturalist.org/observations/54688336",2012,"54688336","2012-07-19","-24.172394447","30.9519400933",36,"needs_id","CC-BY-NC",FALSE,846180,"kiwikiu"
"159",0,"https://www.inaturalist.org/observations/56301003",2006,"56301003","2006-06-15","-7.1430287361","108.6842962102",122,"research","CC-BY-NC",FALSE,40292,"abuhamas"
"160",0,"https://www.inaturalist.org/observations/57224685",2020,"57224685","2020-08-22","46.2341580298","6.3572960347",3,"research","CC-BY",FALSE,40314,"tommy_andriollo"
"161",0,"https://www.inaturalist.org/observations/57225341",2020,"57225341","2020-08-22","46.2340896149","6.3573067635",4,"needs_id","CC-BY",FALSE,40391,"tommy_andriollo"
"162",0,"https://www.inaturalist.org/observations/57275530",2020,"57275530","2020-08-22","22.6571734345","120.2852066175",171,"research","CC-BY-NC-ND",FALSE,74892,"fuchila"
"163",0,"https://www.inaturalist.org/observations/57276991",2017,"57276991","2017-04-02","4.1631878312","-72.0472242034",122,"needs_id","CC-BY-NC",FALSE,41109,"juandavidrodriguez"
"164",0,"https://www.inaturalist.org/observations/57277143",2017,"57277143","2017-09-08","4.072720129","-73.5822332073",8,"needs_id","CC-BY-NC",FALSE,40270,"juandavidrodriguez"
"165",0,"https://www.inaturalist.org/observations/57289999",2020,"57289999",NA,NA,NA,NA,NA,NA,NA,NA,NA
"166",0,"https://www.inaturalist.org/observations/57331647",2017,"57331647","2017-10-04","4.1118393342","-72.0551437676",122,"research","CC-BY-NC",FALSE,74518,"juandavidrodriguez"
"167",0,"https://www.inaturalist.org/observations/57331768",2017,"57331768","2017-10-04","4.1111530313","-72.0564066405",122,"research","CC-BY-NC",FALSE,75181,"juandavidrodriguez"
"168",0,"https://www.inaturalist.org/observations/57332154",2017,"57332154","2017-10-03","4.1111415549","-72.0533904256",61,"needs_id","CC-BY-NC",FALSE,41249,"juandavidrodriguez"
"169",0,"https://www.inaturalist.org/observations/57332849",2017,"57332849","2017-10-04","4.11821934","-72.0571156977",488,"research","CC-BY-NC",FALSE,852272,"juandavidrodriguez"
"170",0,"https://www.inaturalist.org/observations/57332975",2017,"57332975","2017-10-04","4.1126717038","-72.0547826576",488,"research","CC-BY-NC",FALSE,41078,"juandavidrodriguez"
"171",0,"https://www.inaturalist.org/observations/57333268",2017,"57333268","2017-10-04","4.1160178048","-72.0568608789",122,"research","CC-BY-NC",FALSE,41077,"juandavidrodriguez"
"172",0,"https://www.inaturalist.org/observations/57333515",2017,"57333515","2017-10-04","4.116652292","-72.0564680986",244,"needs_id","CC-BY-NC",FALSE,41109,"juandavidrodriguez"
"173",0,"https://www.inaturalist.org/observations/57339253",2017,"57339253","2017-10-07","4.1175665929","-72.0561575413",244,"needs_id","CC-BY-NC",FALSE,846304,"juandavidrodriguez"
"174",0,"https://www.inaturalist.org/observations/57339385",2017,"57339385","2017-10-07","4.1159741351","-72.05644424",488,"needs_id","CC-BY-NC",FALSE,40270,"juandavidrodriguez"
"175",0,"https://www.inaturalist.org/observations/57350893",2015,"57350893","2015-07-29","13.3858248206","-86.9496416588",1500,"research","CC-BY",FALSE,41093,"carlosfunes37"
"176",0,"https://www.inaturalist.org/observations/57350898",2015,"57350898","2015-08-01","13.3858248206","-86.9496416588",1500,"research","CC-BY",FALSE,41180,"carlosfunes37"
"177",0,"https://www.inaturalist.org/observations/57352107",2015,"57352107","2015-08-05","13.394545573","-86.9706973945",1000,"research","CC-BY",FALSE,74643,"carlosfunes37"
"178",1,"https://www.inaturalist.org/observations/57357212",2013,"57357212","2013-09-13","13.9309626543","-87.1568290851",1000,"needs_id","CC-BY",FALSE,40992,"carlosfunes37"
